platform,username,post_url,caption,media_url,likes,comments,views,upload_date
instagram,nike,https://www.instagram.com/p/nike_0/,"Style that performs. Function that inspires ✨
.
#Nike #JustDoIt #NikeAthletes #NikeRunning #NikeTraining",https://instagram.com/nike/0.jpg,488197,5717,,2025-11-08 06:13:10
instagram,nike,https://www.instagram.com/p/nike_1/,"Push your limits. Greatness awaits 🌟
.
#Nike #JustDoIt #NikeAthletes #NikeRunning #NikeTraining",https://instagram.com/nike/1.jpg,244584,7304,,2025-11-08 02:06:10
instagram,nike,https://www.instagram.com/p/nike_2/,"Train insane or remain the same 💯 #NoExcuses
.
#Nike #JustDoIt #NikeAthletes #NikeRunning #NikeTraining",https://instagram.com/nike/2.jpg,120726,2419,,2025-11-07 20:40:10
instagram,nike,https://www.instagram.com/p/nike_3/,"Push your limits. Greatness awaits 🌟
.
#Nike #JustDoIt #NikeAthletes #NikeRunning #NikeTraining",https://instagram.com/nike/3.jpg,326880,5002,721420,2025-11-05 22:20:10
instagram,nike,https://www.instagram.com/p/nike_4/,"Push your limits. Greatness awaits 🌟
.
#Nike #JustDoIt #NikeAthletes #NikeRunning #NikeTraining",https://instagram.com/nike/4.jpg,366944,4767,,2025-11-03 22:13:10
instagram,nike,https://www.instagram.com/p/nike_5/,"Game day ready. Are you? 🏈 #NikeFootball
.
#Nike #JustDoIt #NikeAthletes #NikeRunning #NikeTraining",https://instagram.com/nike/5.jpg,228125,5057,878456,2025-11-03 21:00:10
instagram,nike,https://www.instagram.com/p/nike_6/,"Breaking barriers, setting records. Who's ready? 💯
.
#Nike #JustDoIt #NikeAthletes #NikeRunning #NikeTraining",https://instagram.com/nike/6.jpg,101107,2069,,2025-11-01 07:27:10
instagram,nike,https://www.instagram.com/p/nike_7/,"From the court to the streets. Style never stops 🏀
.
#Nike #JustDoIt #NikeAthletes #NikeRunning #NikeTraining",https://instagram.com/nike/7.jpg,425743,5279,1343042,2025-10-31 21:42:10
instagram,nike,https://www.instagram.com/p/nike_8/,"Unleash your potential. The all-new Air Max is here 🔥
.
#Nike #JustDoIt #NikeAthletes #NikeRunning #NikeTraining",https://instagram.com/nike/8.jpg,444252,7062,1758303,2025-10-31 02:57:10
instagram,nike,https://www.instagram.com/p/nike_9/,"Comfort meets performance. The future is now ⚡
.
#Nike #JustDoIt #NikeAthletes #NikeRunning #NikeTraining",https://instagram.com/nike/9.jpg,150234,3658,,2025-10-29 05:36:10
