platform,username,post_url,caption,media_url,likes,comments,views,upload_date
twitter,nike,https://twitter.com/nike/status/1000000000,Champions are made in training. Let's work 🎯 #Nike #NikeRunning,https://pbs.twimg.com/media/nike_0.jpg,16578,608,293951,2025-11-07 22:18:10
twitter,nike,https://twitter.com/nike/status/1000000001,Performance redefined. New collection alert 🔔 #JustDoIt #NikeRunning,https://pbs.twimg.com/media/nike_1.jpg,38210,986,593110,2025-11-07 02:23:10
twitter,nike,https://twitter.com/nike/status/1000000002,Style that performs. Function that inspires ✨ #NikeRunning #NikeAthletes,https://pbs.twimg.com/media/nike_2.jpg,21175,1048,264755,2025-11-06 08:51:10
twitter,nike,https://twitter.com/nike/status/1000000003,The only workout you'll regret is the one you skip ⏰ #JustDoIt #Nike,https://pbs.twimg.com/media/nike_3.jpg,29994,1041,513477,2025-11-06 03:41:10
twitter,nike,https://twitter.com/nike/status/1000000004,Every champion was once a beginner. Start today 💫 #NikeTraining #NikeAthletes,https://pbs.twimg.com/media/nike_4.jpg,18355,792,354736,2025-11-05 21:26:10
twitter,nike,https://twitter.com/nike/status/1000000005,Icons in the making. Join the movement 👑 #Nike #NikeTraining,https://pbs.twimg.com/media/nike_5.jpg,23824,823,351163,2025-11-05 06:02:10
twitter,nike,https://twitter.com/nike/status/1000000006,Champions are made in training. Let's work 🎯 #JustDoIt #Nike,https://pbs.twimg.com/media/nike_6.jpg,39681,1510,776538,2025-11-05 04:15:10
twitter,nike,https://twitter.com/nike/status/1000000007,Icons in the making. Join the movement 👑 #JustDoIt #NikeAthletes,https://pbs.twimg.com/media/nike_7.jpg,11717,395,128356,2025-11-04 23:10:10
twitter,nike,https://twitter.com/nike/status/1000000008,From practice to podium. We're with you 🏅 #JustDoIt #Nike,https://pbs.twimg.com/media/nike_8.jpg,41687,1065,664492,2025-11-04 05:09:10
twitter,nike,https://twitter.com/nike/status/1000000009,Winning mindset. Champion attitude 🧠 #JustDoIt #NikeTraining,https://pbs.twimg.com/media/nike_9.jpg,14723,504,177944,2025-11-03 23:00:10
twitter,nike,https://twitter.com/nike/status/1000000010,Elevate your game. The future starts now 🎮 #NikeTraining #JustDoIt,https://pbs.twimg.com/media/nike_10.jpg,23175,1071,434343,2025-11-03 19:35:10
twitter,nike,https://twitter.com/nike/status/1000000011,"Just Do It. New season, new goals 💪 #Nike #JustDoIt #JustDoIt #NikeRunning",https://pbs.twimg.com/media/nike_11.jpg,36614,1402,730224,2025-11-03 01:18:10
twitter,nike,https://twitter.com/nike/status/1000000012,Style that performs. Function that inspires ✨ #Nike #NikeRunning,https://pbs.twimg.com/media/nike_12.jpg,42002,1439,809211,2025-11-02 06:47:10
twitter,nike,https://twitter.com/nike/status/1000000013,Winning mindset. Champion attitude 🧠 #JustDoIt #NikeAthletes,https://pbs.twimg.com/media/nike_13.jpg,46925,1086,841924,2025-11-02 03:14:10
twitter,nike,https://twitter.com/nike/status/1000000014,Run the world. New running collection drops today 👟 #Nike #NikeRunning,https://pbs.twimg.com/media/nike_14.jpg,39313,1623,573476,2025-11-01 01:49:10
twitter,nike,https://twitter.com/nike/status/1000000015,Icons in the making. Join the movement 👑 #NikeTraining #NikeRunning,https://pbs.twimg.com/media/nike_15.jpg,38626,839,513801,2025-10-31 20:25:10
twitter,nike,https://twitter.com/nike/status/1000000016,Push your limits. Greatness awaits 🌟 #NikeAthletes #NikeRunning,https://pbs.twimg.com/media/nike_16.jpg,38882,1129,562905,2025-10-30 04:09:10
