platform,username,post_url,caption,media_url,likes,comments,views,upload_date
facebook,nike,https://www.facebook.com/nike/posts/0,Style that performs. Function that inspires ✨,https://facebook.com/nike/photos/0.jpg,109408,826,406774,2025-11-08 01:09:10
facebook,nike,https://www.facebook.com/nike/posts/1,Every champion was once a beginner. Start today 💫,https://facebook.com/nike/photos/1.jpg,83688,1455,307175,2025-11-06 23:34:10
facebook,nike,https://www.facebook.com/nike/posts/2,"Sweat, smile, repeat. Workout essentials now available 💦",https://facebook.com/nike/photos/2.jpg,116906,1494,496497,2025-11-06 02:36:10
facebook,nike,https://www.facebook.com/nike/posts/3,"Breaking barriers, setting records. Who's ready? 💯",https://facebook.com/nike/photos/3.jpg,101041,647,585384,2025-10-31 21:32:10
facebook,nike,https://www.facebook.com/nike/posts/4,Unleash your potential. The all-new Air Max is here 🔥,https://facebook.com/nike/photos/4.jpg,121972,1417,573488,2025-10-30 22:50:10
facebook,nike,https://www.facebook.com/nike/posts/5,Chase your dreams. We've got your back 💪 #NikeFamily,https://facebook.com/nike/photos/5.jpg,94329,825,543231,2025-10-30 06:46:10
facebook,nike,https://www.facebook.com/nike/posts/6,Unstoppable energy. Unmatched style 🌊,https://facebook.com/nike/photos/6.jpg,116267,1735,651702,2025-10-28 20:12:10
facebook,nike,https://www.facebook.com/nike/posts/7,The only workout you'll regret is the one you skip ⏰,https://facebook.com/nike/photos/7.jpg,80492,514,336247,2025-10-24 05:26:10
facebook,nike,https://www.facebook.com/nike/posts/8,"Breaking barriers, setting records. Who's ready? 💯",https://facebook.com/nike/photos/8.jpg,109980,848,331362,2025-10-24 04:23:10
facebook,nike,https://www.facebook.com/nike/posts/9,Unleash your potential. The all-new Air Max is here 🔥,https://facebook.com/nike/photos/9.jpg,147918,2930,579994,2025-10-23 05:50:10
facebook,nike,https://www.facebook.com/nike/posts/10,Comfort meets performance. The future is now ⚡,https://facebook.com/nike/photos/10.jpg,72110,709,426629,2025-10-21 04:04:10
